id,lat,lon,cluster,opened,cluster_solved
141,25.690975581914483,-100.27517426599623,0,1,0
355,25.667300097324038,-100.30246602949777,0,1,0
1748,25.679567445472628,-100.30079918443712,0,1,0
2071,25.676698099211094,-100.30694460989564,0,1,0
2875,25.686369236898695,-100.29493695458288,0,1,0
3454,25.691220316671235,-100.2817025818244,0,1,0
4123,25.67553886453466,-100.29851082638744,0,1,0
628,25.642596295660088,-100.31316395348524,1,1,1
1577,25.637397057658692,-100.30452498794638,1,1,1
2421,25.631914537440682,-100.28553063678523,1,1,1
2649,25.629896919097316,-100.29093366045392,1,1,1
2720,25.628310385838528,-100.28134217676387,1,1,1
4589,25.634708650710497,-100.29095887696987,1,1,1
4941,25.639706286692704,-100.29936614199681,1,1,1
171,25.65016576581614,-100.31499546275849,2,1,2
2110,25.648017283039593,-100.27587126406996,2,1,2
2277,25.656928158982105,-100.32368560581129,2,1,2
2527,25.65054041114795,-100.28254277315588,2,1,2
4049,25.657794731961783,-100.32852174782111,2,1,2
4873,25.644720651262954,-100.30844883296626,2,1,2
4910,25.650411480682546,-100.30169663878227,2,1,2
157,25.67258082671206,-100.26503020384384,3,1,3
3233,25.66147840952765,-100.28115909376722,3,1,3
3654,25.66785570126679,-100.26914432870288,3,1,3
4452,25.6629822717345,-100.27393721508314,3,1,3
4944,25.67768434221581,-100.27116512059479,3,1,3
4977,25.677174770063598,-100.25333590548303,3,1,3
5314,25.662828247441897,-100.27016236227469,3,1,3
849,25.656047571822935,-100.2658425776408,4,1,4
1454,25.633899367411484,-100.26858008899788,4,1,4
1567,25.661167439936516,-100.24755031966157,4,1,4
1865,25.6515171226097,-100.26328750648165,4,1,4
2476,25.64525745956394,-100.26977633282073,4,1,4
3949,25.642982382948194,-100.26153052833844,4,1,4
4670,25.656885658493096,-100.25671994460419,4,1,4
738,25.62038370464938,-100.26605517640876,5,1,5
1529,25.625741940714285,-100.26945383759315,5,1,5
1603,25.613323364868656,-100.2662673782813,5,1,5
2141,25.6181364405133,-100.2692289085264,5,1,5
2210,25.61942047958343,-100.2614039812827,5,1,5
4186,25.61645348486043,-100.26538502025461,5,1,5
4459,25.62293379586146,-100.26749161081092,5,1,5
